ID,COUNTY,GEOID,HH_TOTAL,HH_WHITE,HH_BLACK,HH_HISPANIC,HH_NATIVE,HH_ASIAN,HH_PACIFIC,HH_OTHER,HH_TWOPLUS
1,Adams,39001,36320,37193,0,0,16863,0,0,0,8824
2,Allen,39003,47905,51753,24994,38339,40179,88417,0,41908,43750
3,Ashland,39005,50893,50930,58654,62375,0,0,0,0,0
4,Ashtabula,39007,43017,44186,27946,40921,13393,0,0,15694,19488
5,Athens,39009,37191,38611,26316,46500,27426,20444,0,41157,19392
6,Auglaize,39011,59516,60216,0,0,0,29028,0,0,0
7,Belmont,39013,46484,47003,36550,26350,42361,0,0,37578,19537
8,Brown,39015,49188,49146,0,82857,0,9792,0,61688,59250
9,Butler,39017,62188,64114,45045,45903,0,72596,0,34668,49750
10,Carroll,39019,51748,52447,0,0,0,0,0,0,0
11,Champaign,39021,54495,54521,41806,17560,22708,106650,0,0,53472
12,Clark,39023,46275,49187,30871,33576,28333,72721,0,33590,27889
13,Clermont,39025,64183,64541,51641,54444,0,74223,0,0,58036
14,Clinton,39027,49997,50351,32969,0,0,0,0,0,65764
15,Columbiana,39029,45498,45803,22583,42333,24125,74750,0,41083,70938
16,Coshocton,39031,43251,43398,0,73015,0,48500,0,0,38750
17,Crawford,39033,41726,41947,33250,33409,0,0,0,0,20313
18,Cuyahoga,39035,46720,57787,28360,35980,41667,65918,33500,31501,36773
19,Darke,39037,50064,50335,31061,34477,0,53650,0,35761,48889
20,Defiance,39039,55295,55971,29103,49561,0,0,0,62045,36801
21,Delaware,39041,100229,99398,85208,63947,0,131236,142500,120568,72708
22,Erie,39043,51033,54383,28848,40313,33459,0,0,31184,47596
23,Fairfield,39045,63424,63673,71971,48966,0,73352,0,45851,27833
24,Fayette,39047,44289,44635,57526,32461,0,0,0,0,31759
25,Franklin,39049,56319,64289,35484,41144,47639,65471,24563,38246,43869
26,Fulton,39051,57774,58478,0,45795,51833,71964,0,42250,32846
27,Gallia,39053,42002,42590,0,0,50833,36136,0,0,0
28,Geauga,39055,77104,77519,57019,60260,0,120200,0,0,0
29,Greene,39057,65032,67060,40852,66107,0,84702,0,0,42375
30,Guernsey,39059,42744,44056,12471,0,35144,0,0,0,22000
31,Hamilton,39061,52389,64270,28697,52119,31964,66217,0,41369,39786
32,Hancock,39063,52831,53389,63194,35620,0,57813,0,35320,37150
33,Hardin,39065,46404,45925,53417,41875,0,63784,0,0,49757
